Date : 2023-09-07 23:13:57
Directory : /Users/ralphcao/Git/USACO
Total : 1019 files,  45833 codes, 4236 comments, 7092 blanks, all 57161 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/USACO problems/USACO_shuffle.cpp                  | C++                |         29 |          0 |          3 |         32 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/USACO problems/USACO_silver_measurement.cpp       | C++                |         62 |         29 |          4 |         95 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/USACO problems/USACO_silver_shuffle.cpp           | C++                |         46 |         44 |          4 |         94 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/USACO problems/USACO_square.cpp                   | C++                |         20 |          0 |          2 |         22 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/USACO problems/test.cpp                           | C++                |         38 |         11 |          4 |         53 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/anothertestfile.cpp                               | C++                |         44 |          1 |          5 |         50 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/asterisks.cpp                                     | C++                |          0 |          0 |          2 |          2 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/citiesandstuff.cpp                                | C++                |         21 |          0 |          2 |         23 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/colortest.cpp                                     | C++                |         37 |         19 |          6 |         62 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/greedy problems.cpp                               | C++                |         28 |          0 |          2 |         30 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/guess my number 1.cpp                             | C++                |         22 |          0 |          3 |         25 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/guess my number 2.cpp                             | C++                |         27 |         13 |          2 |         42 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/hangman.cpp                                       | C++                |        114 |          1 |          2 |        117 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/hangmancomp.cpp                                   | C++                |          9 |          0 |          3 |         12 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/matches1.cpp                                      | C++                |         26 |          0 |          3 |         29 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/matches2.cpp                                      | C++                |         57 |          0 |          3 |         60 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/matches3.cpp                                      | C++                |         33 |          0 |          3 |         36 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/matches4.cpp                                      | C++                |         55 |          0 |          3 |         58 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/matches5.cpp                                      | C++                |         50 |          0 |          5 |         55 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/moretest.cpp                                      | C++                |         11 |          0 |          3 |         14 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/pacman.cpp                                        | C++                |        195 |          0 |          4 |        199 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/pennies test.cpp                                  | C++                |         95 |          0 |          3 |         98 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/pennies1.cpp                                      | C++                |         48 |          0 |          2 |         50 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/pennies2.cpp                                      | C++                |        130 |          0 |          7 |        137 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/project euler.cpp                                 | C++                |         22 |          0 |          2 |         24 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/relay 2.cpp                                       | C++                |         23 |          0 |          2 |         25 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/relay 3.cpp                                       | C++                |         25 |          0 |          2 |         27 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/relay.cpp                                         | C++                |          0 |          0 |          2 |          2 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/std_lib_facilities.h                              | C++                |        160 |         41 |         55 |        256 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/test.cpp                                          | C++                |         67 |          0 |          2 |         69 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/testfile.cpp                                      | C++                |         46 |          0 |          3 |         49 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/tictactoe.cpp                                     | C++                |         90 |         12 |          4 |        106 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/toadfrog.cpp                                      | C++                |         97 |          0 |          3 |        100 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/todd and foroog.cpp                               | C++                |         96 |          0 |          3 |         99 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/typing stuff.cpp                                  | C++                |         11 |          0 |          2 |         13 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/windows.htest.cpp                                 | C++                |         13 |          0 |          2 |         15 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/windowshstuff.cpp                                 | C++                |        195 |         11 |         51 |        257 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Mathematical operations.cpp                                 | C++                |         15 |          0 |          3 |         18 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Something.cpp                                               | C++                |          5 |          0 |          3 |          8 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Student ages.cpp                                            | C++                |         12 |          0 |          2 |         14 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Temperature Conversion.cpp                                  | C++                |         10 |          0 |          2 |         12 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/amicable.cpp                                                | C++                |         22 |          0 |          2 |         24 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/hello.cpp                                                   | C++                |          6 |          0 |          2 |          8 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/impossible.cpp                                              | C++                |          8 |          0 |          3 |         11 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/largestsubsequence.cpp                                      | C++                |         59 |          0 |          2 |         61 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/lucky.cpp                                                   | C++                |          6 |          0 |          2 |          8 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/myname.cpp                                                  | C++                |          6 |          0 |          2 |          8 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/myname2.cpp                                                 | C++                |          7 |          0 |          2 |          9 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/number.cpp                                                  | C++                |          6 |          0 |          2 |          8 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/reading foroog.cpp                                          | C++                |          9 |          0 |          2 |         11 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/something again.cpp                                         | C++                |         10 |          0 |          2 |         12 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/sorting algorithms.cpp                                      | C++                |         34 |          0 |          3 |         37 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/sorting stuff.cpp                                           | C++                |         23 |          0 |          3 |         26 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/sortingstuff.cpp                                            | C++                |          0 |          0 |          2 |          2 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/stuff.c                                                     | C                  |         13 |          0 |          2 |         15 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/stuff.cpp                                                   | C++                |         13 |          0 |          2 |         15 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/test file.cpp                                               | C++                |          9 |          0 |          2 |         11 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/test.cpp                                                    | C++                |         66 |          0 |          6 |         72 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/USACO assign.cpp                             | C++                |         79 |         43 |          6 |        128 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/USACO badhair.cpp                            | C++                |         27 |          0 |          4 |         31 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/USACO ballet.cpp                             | C++                |         72 |          7 |          4 |         83 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/USACO bowls.cpp                              | C++                |         40 |          0 |          5 |         45 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/USACO cline.cpp                              | C++                |         32 |          0 |          3 |         35 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/USACO dna2.cpp                               | C++                |         40 |          0 |          6 |         46 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/USACO equeen.cpp                             | C++                |         35 |          0 |          4 |         39 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/USACO hexagon.cpp                            | C++                |          9 |          1 |          3 |         13 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/USACO lamps.cpp                              | C++                |        116 |          0 |          7 |        123 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/USACO milk3.cpp                              | C++                |         60 |          0 |          6 |         66 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/USACO minesweep.cpp                          | C++                |        104 |          0 |          4 |        108 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/USACO moo.cpp                                | C++                |         36 |          0 |          5 |         41 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/USACO numgrid.cpp                            | C++                |         51 |          0 |          4 |         55 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/USACO planting.cpp                           | C++                |          5 |          0 |          4 |          9 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/USACO sudoku.cpp                             | C++                |         89 |          0 |          4 |         93 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/USACO_lifeguards.cpp                         | C++                |         54 |         15 |          6 |         75 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/USACO_reststops.cpp                          | C++                |         34 |          1 |          4 |         39 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/USACO_teleport.cpp                           | C++                |          9 |          1 |          3 |         13 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/bigdance.cpp                                 | C++                |         17 |          0 |          4 |         21 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/dq.cpp                                       | C++                |         30 |          0 |          3 |         33 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/minnum.cpp                                   | C++                |         38 |          0 |          4 |         42 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/test.cpp                                     | C++                |          6 |          0 |          3 |          9 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/USACO problems/wmorph.cpp                                   | C++                |         52 |          0 |          5 |         57 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO silver files/quicksort.cpp                                               | C++                |         40 |         13 |          5 |         58 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/BITexample.cpp                                                             | C++                |         20 |          0 |          5 |         25 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/ants.cpp                                                                   | C++                |         35 |          0 |          3 |         38 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/badhair.cpp                                                                | C++                |         27 |          0 |          4 |         31 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/badplanting.cpp                                                            | C++                |          0 |          0 |          2 |          2 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/baleshare.cpp                                                              | C++                |         32 |          0 |          3 |         35 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/bcl.cpp                                                                    | C++                |         32 |          0 |          3 |         35 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/bds.cpp                                                                    | C++                |         54 |          0 |          7 |         61 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/block.cpp                                                                  | C++                |         58 |          1 |          3 |         62 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/bobsled.cpp                                                                | C++                |         24 |          0 |          3 |         27 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/bphoto.cpp                                                                 | C++                |         23 |         18 |          3 |         44 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/bphoto2.cpp                                                                | C++                |         40 |          0 |          6 |         46 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/bullcow.cpp                                                                | C++                |         14 |          0 |          3 |         17 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/cardgame.cpp                                                               | C++                |         34 |          0 |          3 |         37 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/chainreaction.cpp                                                          | C++                |         41 |          0 |          3 |         44 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/change.cpp                                                                 | C++                |         24 |          0 |          3 |         27 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/checklist.cpp                                                              | C++                |         35 |          0 |          4 |         39 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/circlecross.cpp                                                            | C++                |         32 |          0 |          3 |         35 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/cline.cpp                                                                  | C++                |         41 |          0 |          5 |         46 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/closing.cpp                                                                | C++                |         60 |          0 |          5 |         65 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/coaster.cpp                                                                | C++                |         31 |          0 |          3 |         34 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/cowcheck.cpp                                                               | C++                |         28 |          0 |          3 |         31 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/cowtour.cpp                                                                | C++                |         19 |          6 |          3 |         28 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/crowded.cpp                                                                | C++                |         33 |         38 |          3 |         74 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/crowded2.cpp                                                               | C++                |         27 |          0 |          3 |         30 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/daisy.cpp                                                                  | C++                |         32 |          0 |          4 |         36 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/disjointsetsexample.cpp                                                    | C++                |         34 |          0 |          6 |         40 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/distant.cpp                                                                | C++                |         53 |          0 |          4 |         57 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/divgold.cpp                                                                | C++                |         31 |          0 |          3 |         34 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/djikstra.cpp                                                               | C++                |         48 |          0 |          4 |         52 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/djikstra2.cpp                                                              | C++                |         43 |          0 |          4 |         47 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/eatpuz.cpp                                                                 | C++                |         20 |          0 |          4 |         24 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/egroup.cpp                                                                 | C++                |         52 |          0 |          3 |         55 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/egroupdp.cpp                                                               | C++                |         40 |          0 |          5 |         45 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/fencedin.cpp                                                               | C++                |         46 |          0 |          3 |         49 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/fencedinbash.cpp                                                           | C++                |          0 |          0 |          2 |          2 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/forgot.cpp                                                                 | C++                |         26 |          0 |          5 |         31 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/fruitfeast.cpp                                                             | C++                |         30 |          0 |          4 |         34 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/fuel.cpp                                                                   | C++                |         52 |          2 |          3 |         57 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/gpsduel.cpp                                                                | C++                |         71 |          0 |          3 |         74 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/hay4sale.cpp                                                               | C++                |         24 |          0 |          3 |         27 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/heatwave2.cpp                                                              | C++                |         39 |          0 |          4 |         43 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/heatwv.cpp                                                                 | C++                |         46 |          9 |          4 |         59 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/horizon.cpp                                                                | C++                |         41 |          5 |          4 |         50 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/horizon2.cpp                                                               | C++                |         29 |          3 |          2 |         34 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/hps.cpp                                                                    | C++                |         37 |          1 |          3 |         41 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/hurdles.cpp                                                                | C++                |         31 |          0 |          3 |         34 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/invite.cpp                                                                 | C++                |         36 |          0 |          3 |         39 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/irrigation.cpp                                                             | C++                |         36 |          0 |          4 |         40 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/jump.cpp                                                                   | C++                |         46 |         18 |          3 |         67 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/jump2.cpp                                                                  | C++                |         36 |          2 |          3 |         41 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/kidsriddle.cpp                                                             | C++                |          7 |          0 |          2 |          9 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/knapsack.cpp                                                               | C++                |         23 |          0 |          3 |         26 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/lazy.cpp                                                                   | C++                |         26 |          0 |          3 |         29 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/lcs.cpp                                                                    | C++                |         16 |          0 |          4 |         20 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/lcs2.cpp                                                                   | C++                |         21 |          0 |          3 |         24 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/lcsubstring.cpp                                                            | C++                |         16 |          0 |          3 |         19 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/lepr.cpp                                                                   | C++                |         42 |          0 |          5 |         47 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/lightsout.cpp                                                              | C++                |          6 |          0 |          3 |          9 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/lineup.cpp                                                                 | C++                |         54 |          0 |          3 |         57 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/lis.cpp                                                                    | C++                |         19 |          0 |          3 |         22 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/lottery.cpp                                                                | C++                |         18 |          0 |          3 |         21 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/lower_boundtest.cpp                                                        | C++                |         16 |          0 |          3 |         19 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/maze1.cpp                                                                  | C++                |         73 |          0 |          7 |         80 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/maze1dfs.cpp                                                               | C++                |         64 |          2 |          6 |         72 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/meteor.cpp                                                                 | C++                |         58 |         15 |          6 |         79 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/milkprod.cpp                                                               | C++                |         24 |          0 |          3 |         27 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/moocast.cpp                                                                | C++                |         56 |          0 |          8 |         64 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/moooo.cpp                                                                  | C++                |         34 |          0 |          3 |         37 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/mst.cpp                                                                    | C++                |         43 |          0 |          4 |         47 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/mst2.cpp                                                                   | C++                |         37 |          0 |          4 |         41 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/mtime.cpp                                                                  | C++                |         20 |          0 |          3 |         23 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/mysteriousnumbers.cpp                                                      | C++                |         17 |          0 |          2 |         19 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/nocross.cpp                                                                | C++                |         28 |          0 |          4 |         32 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/ontherun.cpp                                                               | C++                |         49 |          8 |          5 |         62 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/ontherundp.cpp                                                             | C++                |         72 |          0 |          4 |         76 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/pachinko2.cpp                                                              | C++                |         17 |          0 |          3 |         20 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/packdel.cpp                                                                | C++                |         36 |          0 |          5 |         41 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/painting.cpp                                                               | C++                |         47 |          0 |          4 |         51 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/perfectnumber.cpp                                                          | C++                |         26 |          0 |          3 |         29 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/perimeter.cpp                                                              | C++                |         19 |          0 |          3 |         22 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/photo.cpp                                                                  | C++                |         31 |          0 |          5 |         36 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/picnic.cpp                                                                 | C++                |         39 |          0 |          4 |         43 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/pie1.cpp                                                                   | C++                |         31 |          0 |          3 |         34 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/planting.cpp                                                               | C++                |         88 |         11 |          2 |        101 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/pogocow.cpp                                                                | C++                |         26 |          1 |          4 |         31 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/proximity.cpp                                                              | C++                |         17 |          0 |          3 |         20 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/pwalk.cpp                                                                  | C++                |         49 |          1 |          3 |         53 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/pwrfail.cpp                                                                | C++                |          7 |          0 |          3 |         10 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/ravioli.cpp                                                                | C++                |          0 |          0 |          2 |          2 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/rblock.cpp                                                                 | C++                |         86 |          0 |          5 |         91 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/rotsym.cpp                                                                 | C++                |         25 |          0 |          3 |         28 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/sboost.cpp                                                                 | C++                |         41 |          0 |          4 |         45 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/sed.cpp                                                                    | C++                |         24 |          0 |          3 |         27 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/silvlily.cpp                                                               | C++                |        101 |         45 |          9 |        155 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/silvlily2.cpp                                                              | C++                |          0 |          0 |          2 |          2 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/silvlily3.cpp                                                              | C++                |         87 |          0 |          6 |         93 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/skyline.cpp                                                                | C++                |         24 |          0 |          3 |         27 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/slide.cpp                                                                  | C++                |          4 |          0 |          3 |          7 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/slides.cpp                                                                 | C++                |         39 |          0 |          3 |         42 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/snail.cpp                                                                  | C++                |         76 |         21 |          8 |        105 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/spainting.cpp                                                              | C++                |         31 |          0 |          4 |         35 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/structtest.cpp                                                             | C++                |         17 |         14 |          4 |         35 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/subset.cpp                                                                 | C++                |         19 |          0 |          3 |         22 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/tallest.cpp                                                                | C++                |         46 |          2 |          3 |         51 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/test.cpp                                                                   | C++                |          8 |          0 |          2 |         10 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/tractor2.cpp                                                               | C++                |         60 |          0 |          8 |         68 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/traffic.cpp                                                                | C++                |         48 |          0 |          5 |         53 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/treasure.cpp                                                               | C++                |         20 |          0 |          3 |         23 |
| /Users/ralphcao/Git/USACO/AStar/AStar Gold/xlite.cpp                                                                  | C++                |          0 |          0 |          2 |          2 |
| /Users/ralphcao/Git/USACO/AStar/AStar Platinum 2019 Fall/acquire.cpp                                                  | C++                |         39 |          7 |         12 |         58 |
| /Users/ralphcao/Git/USACO/AStar/AStar Platinum 2019 Fall/acquire2.cpp                                                 | C++                |         58 |         25 |         17 |        100 |
| /Users/ralphcao/Git/USACO/AStar/AStar Platinum 2019 Fall/baleshare.cpp                                                | C++                |         34 |          1 |          6 |         41 |
| /Users/ralphcao/Git/USACO/AStar/AStar Platinum 2019 Fall/bdsum.cpp                                                    | C++                |         37 |          0 |          7 |         44 |
| /Users/ralphcao/Git/USACO/AStar/AStar Platinum 2019 Fall/claust2.cpp                                                  | C++                |         59 |         15 |         16 |         90 |
| /Users/ralphcao/Git/USACO/AStar/AStar Platinum 2019 Fall/corral.cpp                                                   | C++                |         37 |          2 |          7 |         46 |
| /Users/ralphcao/Git/USACO/AStar/AStar Platinum 2019 Fall/cowrun.cpp                                                   | C++                |         28 |          3 |          5 |         36 |
| /Users/ralphcao/Git/USACO/AStar/AStar Platinum 2019 Fall/crazy.cpp                                                    | C++                |         93 |         30 |         18 |        141 |
| /Users/ralphcao/Git/USACO/AStar/AStar Platinum 2019 Fall/first.cpp                                                    | C++                |         95 |          2 |         15 |        112 |
| /Users/ralphcao/Git/USACO/AStar/AStar Platinum 2019 Fall/flower.cpp                                                   | C++                |         26 |          1 |          6 |         33 |
| /Users/ralphcao/Git/USACO/AStar/AStar Platinum 2019 Fall/fpot.cpp                                                     | C++                |         48 |          3 |         10 |         61 |
| /Users/ralphcao/Git/USACO/AStar/AStar Platinum 2019 Fall/gourmet.cpp                                                  | C++                |         44 |          2 |          7 |         53 |
| /Users/ralphcao/Git/USACO/AStar/AStar Platinum 2019 Fall/kimbits.cpp                                                  | C++                |         35 |          0 |          6 |         41 |
| /Users/ralphcao/Git/USACO/AStar/AStar Platinum 2019 Fall/letter.cpp                                                   | C++                |         87 |          6 |         14 |        107 |
| /Users/ralphcao/Git/USACO/AStar/AStar Platinum 2019 Fall/lonesome2.cpp                                                | C++                |         70 |          4 |         16 |         90 |
| /Users/ralphcao/Git/USACO/AStar/AStar Platinum 2019 Fall/moat.cpp                                                     | C++                |         48 |         25 |         16 |         89 |
| /Users/ralphcao/Git/USACO/AStar/AStar Platinum 2019 Fall/palin.cpp                                                    | C++                |         29 |         20 |          9 |         58 |
